model,granularity,query,rank,relevance_score,chunk_id,parent_chunk_id,source,text_preview
all-mpnet-base-v2,128,What is bauxite used for?,1,0,chunk-4dfab4d43a054f09,chunk-6d0c69e143c0ce62,Natural_Resources_India_wiki.pptx,". it is used as a semi-precious stone and also in abrasives, sand blasting, water filtration materials and water jet cutting"
all-mpnet-base-v2,128,What is bauxite used for?,2,0,chunk-e39d6292ad7284b9,chunk-972e347e73d40c46,GEOG-502.pdf,".  bauxite: found in states like odisha, gujarat, and maharashtra"
all-mpnet-base-v2,128,What is bauxite used for?,3,0,chunk-c1a71a36e2e0a634,chunk-e22322f44cd182d3,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,"of copper, chromites, bauxite and magnetite"
all-mpnet-base-v2,128,What is bauxite used for?,4,0,chunk-d6ad41c203c8fd51,chunk-a257e121ff9265f6,Natural_Resources_India_wiki.pptx,for processing ilmenite.[105] it is also used in production of titanium dioxide pigment
all-mpnet-base-v2,128,What is bauxite used for?,5,0,chunk-d4b3d14961c1ee37,chunk-81205c8444e786e9,Natural_Resources_India_wiki.pptx,". other than construction, it is used in paint and agricultural lime."
all-mpnet-base-v2,128,What is bauxite used for?,6,0,chunk-9fce122e22a4d5dd,chunk-e1303cfec689cc66,Geography of Natural Resource and Management course code GeEs1019.pdf,.  as raw materials in a variety of manufacturing industries
all-mpnet-base-v2,128,What is bauxite used for?,7,1,chunk-b3323a56b1f138e4,chunk-e1303cfec689cc66,Geography of Natural Resource and Management course code GeEs1019.pdf,"and steel, aluminum and ceramic minerals for various constructions"
all-mpnet-base-v2,128,What is bauxite used for?,8,0,chunk-41620c7265664beb,chunk-c3209583e83604f2,Geography of Natural Resource and Management course code GeEs1019.pdf,up of metals and ceramic minerals
all-mpnet-base-v2,128,What is bauxite used for?,9,0,chunk-a3993cfb20a90804,chunk-5c275aaf67177de1,Natural_Resources_India_wiki.pptx,. these are mainly used in building constructions.[51] environmental impact of mining these minerals was significant over a
all-mpnet-base-v2,128,What is bauxite used for?,10,0,chunk-cf97609df9800a6e,chunk-42efa9db955397fc,Natural_Resources_India_wiki.pptx,". it was used in construction of temples, tombs and palaces. now it is also used for flooring in homes and offices"
all-mpnet-base-v2,128,Environmental impact of strip mining,1,0,chunk-9482307a25181976,chunk-ccee37976be8e64a,GEOG-502.pdf,environmental impacts of mining activities
all-mpnet-base-v2,128,Environmental impact of strip mining,2,0,chunk-63b129e5ff3bd5c8,chunk-ccee37976be8e64a,GEOG-502.pdf,environmental risks associated with the mining operation
all-mpnet-base-v2,128,Environmental impact of strip mining,3,0,chunk-a01123832af8f3c3,chunk-de61153eba3ac438,GEOG-502.pdf,environmental and social impacts of mining and other mineral-related activities
all-mpnet-base-v2,128,Environmental impact of strip mining,4,1,chunk-ffa875f6e2314bb4,chunk-887f1b4599d6ffdc,GEOG-502.pdf,". mining and processing of these resources can have negative environmental impacts, such as soil erosion and water pollution"
all-mpnet-base-v2,128,Environmental impact of strip mining,5,0,chunk-46840e25f43c670b,chunk-fe67333e3b928e89,CHAPTER 2.pdf,". although the area occupied for mining activity is small, the damage to the environment on account of mining is causing grave"
all-mpnet-base-v2,128,Environmental impact of strip mining,6,0,chunk-0581a119592a5b38,chunk-f92262fbdca6daa4,GEOG-502.pdf,". mining operations can lead to the degradation of land and water resources, loss of biodiversity, and deforestation"
all-mpnet-base-v2,128,Environmental impact of strip mining,7,0,chunk-0d488e50b99cbee2,chunk-025c1daa41e84a41,GEOG-502.pdf,. the findings informed decision-making and mitigation strategies for sustainable mining practices
all-mpnet-base-v2,128,Environmental impact of strip mining,8,0,chunk-639898f2faf187f9,chunk-0c5238f81c277190,GEOG-502.pdf,. sustainable mining practices:sustainable mining practices can help to reduce the environmental impact of mining and promote
all-mpnet-base-v2,128,Environmental impact of strip mining,9,0,chunk-ce6a35967b38b12f,chunk-f97ef775e1d594ca,CHAPTER 2.pdf,". the mining of earth’s natural resources is, therefore accelerating, and it has accompanying environmental consequences"
all-mpnet-base-v2,128,Environmental impact of strip mining,10,0,chunk-fd3247a0ed838a70,chunk-73583d625f339fe4,GEOG-502.pdf,". mining operations can cause displacement of communities, loss of traditional lands and resources, and negative impacts on"
all-mpnet-base-v2,128,What are rare earth elements?,1,0,chunk-e6e522cb1eb6aa0a,chunk-e4ed4435b4e230c8,GEOG-502.pdf,"elements like heavy metals (e.g., lead, cadmium, arsenic) and metalloids (e.g., selenium, antimony)"
all-mpnet-base-v2,128,What are rare earth elements?,2,0,chunk-d5adbbc6e90b0074,chunk-9a7a8861d7e68d6f,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,". uranium, thorium, etc)"
all-mpnet-base-v2,128,What are rare earth elements?,3,0,chunk-c3a97974b4b39407,chunk-693bfb09b81f8036,Natural_Resources_wiki.txt,". these include land, water, air, rare-earth elements, and heavy metals including ores, such as gold, iron, copper, silver, etc"
all-mpnet-base-v2,128,What are rare earth elements?,4,0,chunk-f12eadb2f3756a58,chunk-c9a78f1c7bdb498e,Geography of Natural Resource and Management course code GeEs1019.pdf,. native elements: the elements group includes over one hundred known minerals
all-mpnet-base-v2,128,What are rare earth elements?,5,0,chunk-ca48cba2241c5ffd,chunk-5dc898d9f82dfdec,GEOG-502.pdf,"gold, and silver), and uranium"
all-mpnet-base-v2,128,What are rare earth elements?,6,0,chunk-81f037d2dc9d1275,chunk-fbca80d8a2ea697c,Natural_Resources_wiki.txt,"elements such as uranium, which naturally decay into heavy metals"
all-mpnet-base-v2,128,What are rare earth elements?,7,0,chunk-75972f80f88a72b5,chunk-7def5573ce8403c4,Geography of Natural Resource and Management course code GeEs1019.pdf,basis of their occurrence and availability (or their location and distribution) spatially on the earth
all-mpnet-base-v2,128,What are rare earth elements?,8,0,chunk-7cb0759b7609431d,chunk-2351f9de9c7ea5d9,GEOG-502.pdf,. these elements originate in nature and are transformed into resources by the appraisal using knowledge and technological
all-mpnet-base-v2,128,What are rare earth elements?,9,0,chunk-546e5302e632d072,chunk-baf4911d248159c6,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,". these are mainly the non-energy mineral resources, which occur in the earth’s crust (e.g"
all-mpnet-base-v2,128,What are rare earth elements?,10,0,chunk-1c1c00e81c9de7de,chunk-eb2ed4e471b68f25,GEOG-502.pdf,"mineral, forests page 149 of 297 minerals such as lithium and rare earth elements are used in the production of batteries and"
all-mpnet-base-v2,128,Process of hydraulic fracturing,1,0,chunk-17ae92a9ef0dd116,chunk-1c595281d70d8ff3,Geography of Natural Resource and Management course code GeEs1019.pdf,. siltation is the fill up of reservoir dams with sediments
all-mpnet-base-v2,128,Process of hydraulic fracturing,2,0,chunk-ded2cac74c8c43cd,chunk-eef5457dabc45ce9,CHAPTER 2.pdf,". when holes are drilled in the region, the steam that shoots up is purified and is used to drive turbines, which power electric"
all-mpnet-base-v2,128,Process of hydraulic fracturing,3,1,chunk-2bd3ac3b3f907d1d,chunk-1c595281d70d8ff3,Geography of Natural Resource and Management course code GeEs1019.pdf,"and cause the siltation of reservoirs that are built up for generation of h.e.p., or to provide irrigation water, urban"
all-mpnet-base-v2,128,Process of hydraulic fracturing,4,1,chunk-388be6783f7df87d,chunk-33eaff143bb96d6f,GEOG-502.pdf,. in this type of flooding a huge amount of water is rapidly released in less than six hours
all-mpnet-base-v2,128,Process of hydraulic fracturing,5,0,chunk-86d8eeac8ebdac18,chunk-5d226fb32051337c,GEOG-502.pdf,. to release such strain rapture is generated along with the fault line and the rock starts to rebounds itself by using its own
all-mpnet-base-v2,128,Process of hydraulic fracturing,6,1,chunk-f4507f07eb0ae6b9,chunk-07263519331947ac,Geography of Natural Resource and Management course code GeEs1019.pdf,". digging deep underground wells and developing springs and swamps by clearing, collecting and diverting water for various uses"
all-mpnet-base-v2,128,Process of hydraulic fracturing,7,0,chunk-42558020454f7f14,chunk-7bbf7dd9e3213556,GEOG-502.pdf,. c) blocking in the drains due to landslide in any area. d) construction of reservoirs and dams
all-mpnet-base-v2,128,Process of hydraulic fracturing,8,1,chunk-4fde25e54e9246cf,chunk-33eaff143bb96d6f,GEOG-502.pdf,. sudden and rapid release of water due to a dam failure cause flooding in low-lying areas
all-mpnet-base-v2,128,Process of hydraulic fracturing,9,1,chunk-2753ecf907eda8fd,chunk-e94a73fddb402e5e,CHAPTER 2.pdf,"can lower the ground water table, and cause wells to no longer be able to reach ground water"
all-mpnet-base-v2,128,Process of hydraulic fracturing,10,1,chunk-e662624f345d053f,chunk-83eec5cd81552988,GEOG-502.pdf,"artificial vibrations, drawdown of reservoirs or leakage of water from the utilities"
all-mpnet-base-v2,128,What is geothermal energy?,1,0,chunk-a8804a439f08db9b,chunk-8df4dbf23be941bd,CHAPTER 2.pdf,. 14. what is geothermal energy? what are its advantages? 15
all-mpnet-base-v2,128,What is geothermal energy?,2,0,chunk-e9febec20d05417a,chunk-683b39662ad1e8ed,CHAPTER 2.pdf,. how geothermal energy can be used to generate electricity. what are its advantages and disadvantages?
all-mpnet-base-v2,128,What is geothermal energy?,3,1,chunk-4d45a82f48baf869,chunk-4a75aa736bd175c8,GEOG-502.pdf,". geothermal energy: this is energy derived from the heat of the earth's crust, which can be captured and converted into"
all-mpnet-base-v2,128,What is geothermal energy?,4,1,chunk-735e7c867a441ff2,chunk-4a75aa736bd175c8,GEOG-502.pdf,converted into electricity or heat through geothermal power plants or heat pumps
all-mpnet-base-v2,128,What is geothermal energy?,5,0,chunk-2aa95a23850697bd,chunk-4a75aa736bd175c8,GEOG-502.pdf,". geothermal energy is a reliable and stable source of renewable energy, but its use is limited to areas with high geothermal"
all-mpnet-base-v2,128,What is geothermal energy?,6,0,chunk-dbb175614fe993ad,chunk-4a75aa736bd175c8,GEOG-502.pdf,geothermal activity
all-mpnet-base-v2,128,What is geothermal energy?,7,1,chunk-efb4af2910f579b1,chunk-1fc38fe6b0f5482a,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,. (3) geothermal energy geothermal energy is thermal energy generated and stored in the earth
all-mpnet-base-v2,128,What is geothermal energy?,8,0,chunk-00558afb7e102d77,chunk-2dc62e52b0d169b8,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,". as a result, geothermal power has the potential to help mitigate global warming if widely deployed in place of fossil fuels"
all-mpnet-base-v2,128,What is geothermal energy?,9,0,chunk-6297fb8a344a8bb0,chunk-930a769c696dda47,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,". geothermal power is cost effective, reliable, sustainable, and environmentally friendly, but has historically been limited to"
all-mpnet-base-v2,128,What is geothermal energy?,10,0,chunk-e928ab9229f21a67,chunk-814a81b4f3bc48a2,CHAPTER 2.pdf,produced (iii) geothermal energy geothermal literally means
all-mpnet-base-v2,512,What is bauxite used for?,1,0,chunk-81205c8444e786e9,chunk-511bba60cc9729a8,Natural_Resources_India_wiki.pptx,". other than construction, it is used in paint and agricultural lime."
all-mpnet-base-v2,512,What is bauxite used for?,2,1,chunk-42a0541395e406ff,chunk-c267e4dafa697460,Geography of Natural Resource and Management course code GeEs1019.pdf,".  as raw materials in a variety of manufacturing industries. for example iron, copper, tin etc., are used for the production of a wide variety of ma"
all-mpnet-base-v2,512,What is bauxite used for?,3,0,chunk-a257e121ff9265f6,chunk-30fa9d3af59b0fe4,Natural_Resources_India_wiki.pptx,". sillimanite refractory bricks are used in steel, glass and petrochemical industries.[104] in 2004, india produced 14,500 tonnes of sillimanite and 6"
all-mpnet-base-v2,512,What is bauxite used for?,4,1,chunk-f6d2798b6824dd32,chunk-60fe06a606c26e59,CHAPTER 2.pdf,". the use of the mineral depends on its properties. for example, aluminum is light but strong and durable, so it is used for aircraft, shipping and ca"
all-mpnet-base-v2,512,What is bauxite used for?,5,0,chunk-9f6243b9e780e8a1,chunk-c7da4f4c3fbede1e,GEOG-502.pdf,". for example, minerals such as sand, gravel, and limestone are used in construction materials, while minerals such as copper and aluminium are used i"
all-mpnet-base-v2,512,What is bauxite used for?,6,0,chunk-b9247772844838d8,chunk-c267e4dafa697460,Geography of Natural Resource and Management course code GeEs1019.pdf,".  some minerals such as phosphates, nitrates, potash, and the like, are used for the production of fertilizers.  copper-brass lead, zinc, titanium "
all-mpnet-base-v2,512,What is bauxite used for?,7,0,chunk-2b532b129879744a,chunk-c182fff5959a3615,Natural_Resources_India_wiki.pptx,. minor amount of deposits are found in gujarat and tamil nadu.[101] it is mainly used in ceramic industries and metallurgical applications. it is als
all-mpnet-base-v2,512,What is bauxite used for?,8,1,chunk-b0bd3deb0849d6d1,chunk-60e81eb32902bb2e,Geography of Natural Resource and Management course code GeEs1019.pdf,. this would minimize the amount of mineral material used for the production of the service and the amount of smoke and carbon emission to the air.  
all-mpnet-base-v2,512,What is bauxite used for?,9,0,chunk-646ebf4b85c9d7d5,chunk-c150ab3faf2e411a,GEOG-502.pdf,". for example, minerals such as sand, gravel, and limestone are used in construction materials, while minerals such as copper and aluminium are used i"
all-mpnet-base-v2,512,What is bauxite used for?,10,0,chunk-482ebebac6909dbc,chunk-026571c3529ea8a8,Geography of Natural Resource and Management course code GeEs1019.pdf,.  while natural fibers grown by mineral fertilizer and synthetic fibers made from minerals are used for making cloths. some minerals are used for o
all-mpnet-base-v2,512,Environmental impact of strip mining,1,1,chunk-73bfba818ebdaa79,chunk-b2744f4b06d00fef,CHAPTER 2.pdf,. environmental degradation resulting from mining activity in general can be briefly enumerated as flows: 1.\ air pollution with dust and gases due to
all-mpnet-base-v2,512,Environmental impact of strip mining,2,0,chunk-5730757cb2fdc5dd,chunk-fd2362dcdf41f2fd,GEOG-502.pdf,". sustainable mining practices: adopting sustainable mining practices that minimize the environmental impacts of mining, such as reducing waste genera"
all-mpnet-base-v2,512,Environmental impact of strip mining,3,0,chunk-00ecdc7ce9c4d67d,chunk-f9e685267ca6de2c,CHAPTER 2.pdf,. 2.4.2. environmental effects of mineral extraction the scale and level of requirement of minerals have increased manifold in our country and it is h
all-mpnet-base-v2,512,Environmental impact of strip mining,4,1,chunk-ae0c053f4071dc18,chunk-95e0e1bfbcb77d03,Geography of Natural Resource and Management course code GeEs1019.pdf,". the removals cause changes in topography, result in dumping of wastes in other sites, dust at mines are likely to affect the air resource, even thou"
all-mpnet-base-v2,512,Environmental impact of strip mining,5,1,chunk-c95bb232b637a6bc,chunk-209053cd0210b383,GEOG-502.pdf,. unsustainable mining practices: many mining practices are environmentally unsustainable and can lead to the depletion of mineral resources. open-pit
all-mpnet-base-v2,512,Environmental impact of strip mining,6,0,chunk-07f74009d1e0d31c,chunk-040d783235f10b4e,Geography of Natural Resource and Management course code GeEs1019.pdf,. d. social impacts associated with large-scale mining activities; result from a rapid influx of workers into mining sites. the social impacts include
all-mpnet-base-v2,512,Environmental impact of strip mining,7,0,chunk-c9fda8c4fdfa9504,chunk-5c1aa0fca2886ce9,GEOG-502.pdf,". minerals are essential for economic development, but their extraction can have negative environmental and social impacts"
all-mpnet-base-v2,512,Environmental impact of strip mining,8,1,chunk-025c1daa41e84a41,chunk-9696f6177cbc6974,GEOG-502.pdf,". the study evaluated factors such as land cover change, soil erosion, and water quality to identify potential environmental risks associated with the"
all-mpnet-base-v2,512,Environmental impact of strip mining,9,0,chunk-73583d625f339fe4,chunk-c313aeab8879bde4,GEOG-502.pdf,". mining operations can cause displacement of communities, loss of traditional lands and resources, and negative impacts on health and safety. resourc"
all-mpnet-base-v2,512,Environmental impact of strip mining,10,0,chunk-f97ef775e1d594ca,chunk-833efbb210e04104,CHAPTER 2.pdf,". minerals provide the material used to make most of the things of industrial – based society: roads, cars, computers, fertilizers, etc. demand for mi"
all-mpnet-base-v2,512,What are rare earth elements?,1,1,chunk-8936f7280b474af1,chunk-e6aabbfcd28e2295,Geography of Natural Resource and Management course code GeEs1019.pdf,. native elements: the elements group includes over one hundred known minerals. many of the minerals in this class are composed of only one element. g
all-mpnet-base-v2,512,What are rare earth elements?,2,0,chunk-08e3db3384051043,chunk-c7e6f754dcd7fda9,GEOG-502.pdf,". it focuses on understanding the distribution, abundance, and behaviour of chemical elements and compounds in the earth's crust to evaluate the quali"
all-mpnet-base-v2,512,What are rare earth elements?,3,0,chunk-ca5a54a904ba71b8,chunk-d723e51144d7c41c,Natural_Resources_India_wiki.pptx,"world), iron ore, manganese ore (seventh largest reserve in the world as in 2013), lithium ore (sixth largest reserve in the world as in 2023),[6] mic"
all-mpnet-base-v2,512,What are rare earth elements?,4,0,chunk-581890c555d4a4ee,chunk-6eaa36aec5252f9b,Geography of Natural Resource and Management course code GeEs1019.pdf,". some have a metallic luster, some are clear and transparent. some representative oxide minerals include: hematite (ore of iron)- consisting of iron"
all-mpnet-base-v2,512,What are rare earth elements?,5,0,chunk-3ee3a7589399a747,chunk-6eaa36aec5252f9b,Geography of Natural Resource and Management course code GeEs1019.pdf,". most ores of important metals such as mercury (cinnabar - hgs), iron (pyrite-fes2), and lead (galena-pbs) are extracted from sulfides. many of the s"
all-mpnet-base-v2,512,What are rare earth elements?,6,0,chunk-c572e209a33e4cc7,chunk-30fa9d3af59b0fe4,Natural_Resources_India_wiki.pptx,". it is available in kerala, tamil nadu and orissa. mining is done at chavara, chatrapur, aluva and manavalakurichi by indian rare earths limited.[106"
all-mpnet-base-v2,512,What are rare earth elements?,7,0,chunk-39b5885f456bc950,chunk-6eaa36aec5252f9b,Geography of Natural Resource and Management course code GeEs1019.pdf,. many of them are important economically. they include the following groups of minerals. i. oxides: the oxides are a group of minerals that are compo
all-mpnet-base-v2,512,What are rare earth elements?,8,0,chunk-3ae05af7f8fa55b0,chunk-833efbb210e04104,CHAPTER 2.pdf,. more than two-thousand minerals have been identified and most of these contain inorganic compounds formed by various combinations of the eight eleme
all-mpnet-base-v2,512,What are rare earth elements?,9,0,chunk-13208468893fe1b4,chunk-66dbef0b01f03f34,Natural_Resources_India_wiki.pptx,". there are three groups of garnet - aluminum-garnet group, chromium-garnet group, and iron-garnet group. the minerals in aluminium-garnet group are a"
all-mpnet-base-v2,512,What are rare earth elements?,10,0,chunk-dea848e090f74d1f,chunk-8d04686b060b7bbf,Geography of Natural Resource and Management course code GeEs1019.pdf,". the most well-known mineral of this group are: halite – common salt fluorite – used in steel making, chemicals and ceramics vi. carbonates: carbon"
all-mpnet-base-v2,512,Process of hydraulic fracturing,1,1,chunk-1c595281d70d8ff3,chunk-4bb6933c21b5c726,Geography of Natural Resource and Management course code GeEs1019.pdf,". siltation is the fill up of reservoir dams with sediments. silt, clay and organic materials remaining in suspension are carried to the lower end of "
all-mpnet-base-v2,512,Process of hydraulic fracturing,2,1,chunk-eef5457dabc45ce9,chunk-63e301456012655e,CHAPTER 2.pdf,". hot rocks under the ground will heat the water to produce steam. when holes are drilled in the region, the steam that shoots up is purified and is u"
all-mpnet-base-v2,512,Process of hydraulic fracturing,3,0,chunk-e2ba4171420b3f16,chunk-847fda8bc6a13565,Geography of Natural Resource and Management course code GeEs1019.pdf,department of geography &environmental studies geography of natural resource management page 54 vi. cleavage – it is the tendency of some minerals to 
all-mpnet-base-v2,512,Process of hydraulic fracturing,4,1,chunk-0bcc23af259545f3,chunk-f5e1ba2ed6c07d6d,CHAPTER 2.pdf,". the waste flows towards a big tank of “bag dara”. due to scarcity of water, people are compelled to use this effluent for irrigation purpose. the bl"
all-mpnet-base-v2,512,Process of hydraulic fracturing,5,0,chunk-5d226fb32051337c,chunk-8fc8dee98474ecb8,GEOG-502.pdf,. the stress areas of these plate boundaries release huge amount of cumulated energy due to rupturing or slipping. the zones of stress caused by movem
all-mpnet-base-v2,512,Process of hydraulic fracturing,6,1,chunk-33eaff143bb96d6f,chunk-c035554c1eee627a,GEOG-502.pdf,. in this type of flooding a huge amount of water is rapidly released in less than six hours. this type of flooding is also caused by the failure of d
all-mpnet-base-v2,512,Process of hydraulic fracturing,7,1,chunk-0251627e6a9af951,chunk-4bb6933c21b5c726,Geography of Natural Resource and Management course code GeEs1019.pdf,". v. floods and siltation: - sedimentation, which is a quick built up of river and stream beds with coarse materials that cannot readily transported f"
all-mpnet-base-v2,512,Process of hydraulic fracturing,8,1,chunk-6b6f173f37e914a8,chunk-95e0e1bfbcb77d03,Geography of Natural Resource and Management course code GeEs1019.pdf,department of geography &environmental studies geography of natural resource management page 56 a. removal and disturbance of the land cover and mater
all-mpnet-base-v2,512,Process of hydraulic fracturing,9,1,chunk-b576200e87be97b2,chunk-89055aa4895a31b5,GEOG-502.pdf,". fig. 4.4 (e) iv) flows: mass movements of several types such as debris avalanche, earthflow, debris flow, mudflow and creeps are included in a wider"
all-mpnet-base-v2,512,Process of hydraulic fracturing,10,0,chunk-db28ff6710c98b26,chunk-0a4a09682e156b8d,GEOG-502.pdf,fundamentals of natural resource management uttarakhand open university unit 4: natural hazards and risk management page 88 of 297 fig4.4 source: prep
all-mpnet-base-v2,512,What is geothermal energy?,1,1,chunk-930a769c696dda47,chunk-2837caf88e0a39f9,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,. earth's geothermal energy originates from the original formation of the planet (20%) and from radioactive decay of minerals (80%). geothermal power 
all-mpnet-base-v2,512,What is geothermal energy?,2,1,chunk-4a75aa736bd175c8,chunk-0cf9d2b6849339cf,GEOG-502.pdf,". geothermal energy: this is energy derived from the heat of the earth's crust, which can be captured and converted into electricity or heat through g"
all-mpnet-base-v2,512,What is geothermal energy?,3,1,chunk-2dc62e52b0d169b8,chunk-2837caf88e0a39f9,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,". geothermal wells release greenhouse gases trapped deep within the earth, but these emissions are much lower per energy unit than those of fossil fue"
all-mpnet-base-v2,512,What is geothermal energy?,4,1,chunk-fc124a33638d6f9f,chunk-63e301456012655e,CHAPTER 2.pdf,produced (iii) geothermal energy geothermal literally means “earth heat”.geothermal energy harnesses the heat energy present underneath the earth
all-mpnet-base-v2,512,What is geothermal energy?,5,1,chunk-07f27c3e6bb0be77,chunk-60efe4bac61732be,CHAPTER 2.pdf,• geothermal plant is self– sufficient (energy wise) • they are small and has little effect on landscape • cost is less disadvantages: • if constructe
all-mpnet-base-v2,512,What is geothermal energy?,6,1,chunk-eef5457dabc45ce9,chunk-63e301456012655e,CHAPTER 2.pdf,". hot rocks under the ground will heat the water to produce steam. when holes are drilled in the region, the steam that shoots up is purified and is u"
all-mpnet-base-v2,512,What is geothermal energy?,7,1,chunk-7b75ae1ca5cd5812,chunk-60efe4bac61732be,CHAPTER 2.pdf,. • setting up of geothermal power stations requires huge installation cost (iv) hydroelectric energy hydropower is the largest producer of alternativ
all-mpnet-base-v2,512,What is geothermal energy?,8,1,chunk-1fc38fe6b0f5482a,chunk-2837caf88e0a39f9,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,". gujarat, ap, karnataka, mp and rajasthan are states having more than 5000 mw potential each. these potentials could be improved if the technology of"
all-mpnet-base-v2,512,What is geothermal energy?,9,1,chunk-f6ccf6bc2cceb6ea,chunk-cb801e92bd6c0e5d,Natural_Resources_Future_Learn.docx,". together with geothermal energy (heat from the earth’s interior), the sun’s perpetual energy powers the winds, ocean currents, precipitation and mos"
all-mpnet-base-v2,512,What is geothermal energy?,10,1,chunk-814a81b4f3bc48a2,chunk-63e301456012655e,CHAPTER 2.pdf,. advantages: • it is a renewable resource and will not deplete • solar power generation releases no by-products • it is free of cost and can be very 
